logradouro,cidade,estado
Avenida Presidente Getúlio Vargas,Castanhal,PA
Avenida Barão do Rio Branco,Castanhal,PA
Avenida Major Wilson,Castanhal,PA
Avenida Maximino Porpino da Silva,Castanhal,PA
Rua Marechal Deodoro,Castanhal,PA
Rua Quintino Bocaiuva,Castanhal,PA
Avenida Lauro Sodré,Castanhal,PA
Rua Magalhães Barata,Castanhal,PA
Avenida Comandante Francisco de Assis,Castanhal,PA
Rua Coronel Leal,Castanhal,PA
Rua Kazuma Oyama,Castanhal,PA
Avenida Tiradentes,Castanhal,PA
"Alameda 13, Bairro Bom Jesus",Castanhal,PA
"Rua 14, Bairro Centro",Castanhal,PA
"Alameda 15, Bairro Ianetama",Castanhal,PA
"Rua 16, Bairro Jaderlândia",Castanhal,PA
"Alameda 17, Bairro Estrela",Castanhal,PA
"Rua 18, Bairro Saudade",Castanhal,PA
"Alameda 19, Bairro Apeú",Castanhal,PA
"Rua 20, Bairro Bom Jesus",Castanhal,PA
"Alameda 21, Bairro Centro",Castanhal,PA
"Rua 22, Bairro Ianetama",Castanhal,PA
"Alameda 23, Bairro Jaderlândia",Castanhal,PA
"Rua 24, Bairro Estrela",Castanhal,PA
"Alameda 25, Bairro Saudade",Castanhal,PA
"Rua 26, Bairro Apeú",Castanhal,PA
"Alameda 27, Bairro Bom Jesus",Castanhal,PA
"Rua 28, Bairro Centro",Castanhal,PA
"Alameda 29, Bairro Ianetama",Castanhal,PA
"Rua 30, Bairro Jaderlândia",Castanhal,PA
"Alameda 31, Bairro Estrela",Castanhal,PA
"Rua 32, Bairro Saudade",Castanhal,PA
"Alameda 33, Bairro Apeú",Castanhal,PA
"Rua 34, Bairro Bom Jesus",Castanhal,PA
"Alameda 35, Bairro Centro",Castanhal,PA
"Rua 36, Bairro Ianetama",Castanhal,PA
"Alameda 37, Bairro Jaderlândia",Castanhal,PA
"Rua 38, Bairro Estrela",Castanhal,PA
"Alameda 39, Bairro Saudade",Castanhal,PA
"Rua 40, Bairro Apeú",Castanhal,PA
"Alameda 41, Bairro Bom Jesus",Castanhal,PA
"Rua 42, Bairro Centro",Castanhal,PA
"Alameda 43, Bairro Ianetama",Castanhal,PA
"Rua 44, Bairro Jaderlândia",Castanhal,PA
"Alameda 45, Bairro Estrela",Castanhal,PA
"Rua 46, Bairro Saudade",Castanhal,PA
"Alameda 47, Bairro Apeú",Castanhal,PA
"Rua 48, Bairro Bom Jesus",Castanhal,PA
"Alameda 49, Bairro Centro",Castanhal,PA
"Rua 50, Bairro Ianetama",Castanhal,PA
"Alameda 51, Bairro Jaderlândia",Castanhal,PA
"Rua 52, Bairro Estrela",Castanhal,PA
"Alameda 53, Bairro Saudade",Castanhal,PA
"Rua 54, Bairro Apeú",Castanhal,PA
"Alameda 55, Bairro Bom Jesus",Castanhal,PA
"Rua 56, Bairro Centro",Castanhal,PA
"Alameda 57, Bairro Ianetama",Castanhal,PA
"Rua 58, Bairro Jaderlândia",Castanhal,PA
"Alameda 59, Bairro Estrela",Castanhal,PA
"Rua 60, Bairro Saudade",Castanhal,PA
"Alameda 61, Bairro Apeú",Castanhal,PA
"Rua 62, Bairro Bom Jesus",Castanhal,PA
"Alameda 63, Bairro Centro",Castanhal,PA
"Rua 64, Bairro Ianetama",Castanhal,PA
"Alameda 65, Bairro Jaderlândia",Castanhal,PA
"Rua 66, Bairro Estrela",Castanhal,PA
"Alameda 67, Bairro Saudade",Castanhal,PA
"Rua 68, Bairro Apeú",Castanhal,PA
"Alameda 69, Bairro Bom Jesus",Castanhal,PA
"Rua 70, Bairro Centro",Castanhal,PA
"Alameda 71, Bairro Ianetama",Castanhal,PA
"Rua 72, Bairro Jaderlândia",Castanhal,PA
"Alameda 73, Bairro Estrela",Castanhal,PA
"Rua 74, Bairro Saudade",Castanhal,PA
"Alameda 75, Bairro Apeú",Castanhal,PA
"Rua 76, Bairro Bom Jesus",Castanhal,PA
"Alameda 77, Bairro Centro",Castanhal,PA
"Rua 78, Bairro Ianetama",Castanhal,PA
"Alameda 79, Bairro Jaderlândia",Castanhal,PA
"Rua 80, Bairro Estrela",Castanhal,PA
"Alameda 81, Bairro Saudade",Castanhal,PA
"Rua 82, Bairro Apeú",Castanhal,PA
"Alameda 83, Bairro Bom Jesus",Castanhal,PA
"Rua 84, Bairro Centro",Castanhal,PA
"Alameda 85, Bairro Ianetama",Castanhal,PA
"Rua 86, Bairro Jaderlândia",Castanhal,PA
"Alameda 87, Bairro Estrela",Castanhal,PA
"Rua 88, Bairro Saudade",Castanhal,PA
"Alameda 89, Bairro Apeú",Castanhal,PA
"Rua 90, Bairro Bom Jesus",Castanhal,PA
"Alameda 91, Bairro Centro",Castanhal,PA
"Rua 92, Bairro Ianetama",Castanhal,PA
"Alameda 93, Bairro Jaderlândia",Castanhal,PA
"Rua 94, Bairro Estrela",Castanhal,PA
"Alameda 95, Bairro Saudade",Castanhal,PA
"Rua 96, Bairro Apeú",Castanhal,PA
"Alameda 97, Bairro Bom Jesus",Castanhal,PA
"Rua 98, Bairro Centro",Castanhal,PA
"Alameda 99, Bairro Ianetama",Castanhal,PA
"Rua 100, Bairro Jaderlândia",Castanhal,PA
"Alameda 101, Bairro Estrela",Castanhal,PA
"Rua 102, Bairro Saudade",Castanhal,PA
"Alameda 103, Bairro Apeú",Castanhal,PA
"Rua 104, Bairro Bom Jesus",Castanhal,PA
"Alameda 105, Bairro Centro",Castanhal,PA
"Rua 106, Bairro Ianetama",Castanhal,PA
"Alameda 107, Bairro Jaderlândia",Castanhal,PA
"Rua 108, Bairro Estrela",Castanhal,PA
"Alameda 109, Bairro Saudade",Castanhal,PA
"Rua 110, Bairro Apeú",Castanhal,PA
"Alameda 111, Bairro Bom Jesus",Castanhal,PA
"Rua 112, Bairro Centro",Castanhal,PA
"Alameda 113, Bairro Ianetama",Castanhal,PA
"Rua 114, Bairro Jaderlândia",Castanhal,PA
"Alameda 115, Bairro Estrela",Castanhal,PA
"Rua 116, Bairro Saudade",Castanhal,PA
"Alameda 117, Bairro Apeú",Castanhal,PA
"Rua 118, Bairro Bom Jesus",Castanhal,PA
"Alameda 119, Bairro Centro",Castanhal,PA
